Missing_Rule,MF RMSE,Ridge RMSE,MEAN RMSE,MIWAE RMSE
C0_lower,0.057789596020850986,0.10014725515545805,0.15151614306949868,7.322895122305769e-05
C0_upper,0.8384906324235993,0.8891115024173788,0.6312523323472302,0.0
C1_lower,0.2976193030622941,0.3978740076384525,0.4465658301205829,0.0
C1_upper,0.7635244737978104,0.6672652599580626,0.6108229032365953,0.011021590678517537
C2_lower,0.0037347240877944614,0.004348950624286799,0.01015993850294103,3.0335064708880998e-05
C2_upper,0.9094500034416505,1.1007350222763022,0.7712597611898632,0.0
C3_lower,0.0029321623347520996,0.005167759699014055,0.005361456059927372,0.0
C3_upper,0.9231341536223698,0.9442824973672929,0.9116634919582773,0.023499857058811576
C4_lower,0.023132914188259163,0.0243578548525942,0.02678011283521251,0.0
C4_upper,0.6802639482826429,0.6261922914524088,0.5999819685156266,0.01366023767107075
C5_lower,0.0013184015747748116,0.001640792557297692,0.000809334518950415,0.0
C5_upper,0.8023435953704019,0.7699363685075846,0.7592352991518494,0.007880890605666777
C6_lower,0.03309962301411943,0.0622418493527997,0.33817122302471964,0.0
C6_upper,0.9136610609699093,0.9798744354723776,0.36119126868922524,0.019452240317719992
C7_lower,0.08779504197481322,0.08942378486345069,0.41875825861158206,0.0006104709458030763
C7_upper,0.9722195673902498,1.0130066654436038,0.6026872540398593,0.024504804463337446
