Missing_Rule,MF RMSE,Ridge RMSE,MEAN RMSE,MIWAE RMSE
Q1_complete,0.05481520309750582,0.05559415228324836,0.055594152283248356,0.07198577997287908
Q1_partial,0.07344656916972683,0.06215511964748383,0.06215511964748381,0.05311637644335578
Q2_complete,0.009800618060114777,0.001983294307030069,0.0019832943070300577,0.012403943982429378
Q2_partial,0.01386016698025301,0.0028048017071792726,0.0028048017071792566,0.026227569763281798
Q3_complete,0.04883672665490305,0.027314907762142234,0.027314907762142213,0.00891024220280385
Q3_partial,0.06730489183700739,0.03764435166713296,0.03764435166713294,0.020714185424933876
Q4_complete,0.0974466349667684,0.06829657363346825,0.06829657363346824,0.0854809102524153
Q4_partial,0.0,0.0,0.0,0.0
Q1_Q2_complete,0.03870967638422713,0.03862901249880806,0.038629012498808055,0.04307287827654724
Q1_Q2_partial,0.05260733842677562,0.04376147289146045,0.04376147289146043,0.044415563827713445
Q1_Q3_complete,0.051841898228177904,0.04348388577335578,0.043483885773355775,0.05514067219303919
Q1_Q3_partial,0.05111377602852643,0.04325570139765273,0.04325570139765272,0.040666856352434465
Q1_Q4_complete,0.07859079858317622,0.062126345264131515,0.0621263452641315,0.05624412466927212
Q1_Q4_partial,0.05250425034159287,0.044432408468825506,0.04443240846882549,0.053695467144106716
Q2_Q3_complete,0.03505284308765724,0.019264817518623068,0.019264817518623054,0.03805323127613663
Q2_Q3_partial,0.009750315154523573,0.0019731147994036962,0.0019731147994036854,0.0032208862615297276
Q2_Q4_complete,0.06724212098150277,0.04688395307409418,0.046883953074094174,0.09187343135926003
Q2_Q4_partial,0.010009907531694005,0.002025647005090374,0.0020256470050903624,0.014952022059490451
Q3_Q4_complete,0.07600090914466101,0.051134420240486395,0.05113442024048638,0.06794163909738714
Q3_Q4_partial,0.04892323996745427,0.027363295590614692,0.027363295590614675,0.0035600175388055396
