Missing_Rule,MF RMSE,Ridge RMSE,MEAN RMSE,MIWAE RMSE
Q1_complete,0.002607173365862106,0.0028488008086895436,0.0028488008086911907,0.013429034502119038
Q1_partial,0.0028455204735862855,0.0032348758266191224,0.0032348758266209864,0.00337006852138696
Q2_complete,0.001381849886567701,0.0008665319272964224,0.0008665319272929482,0.03242972893254311
Q2_partial,0.0014276333538433218,0.0010037501261745611,0.0010037501261708024,0.02333897908729137
Q3_complete,0.002803947566256793,0.001101172083958399,0.001101172083958595,0.0015403887511198373
Q3_partial,0.0015987070393073484,0.0009887048803349846,0.000988704880335691,0.01371934708456215
Q4_complete,0.009490458236679076,0.00789046262682752,0.007890462626827688,0.03508344102794381
Q4_partial,0.005437500223258818,0.0039561311822605034,0.003956131182261931,0.027568538564844727
Q1_Q2_complete,0.0021308280868946846,0.0021446551951298663,0.0021446551951302428,0.024574424490173847
Q1_Q2_partial,0.002307397907108363,0.0024255056763090796,0.0024255056763092717,0.04585275934896316
Q1_Q3_complete,0.0027069079972902935,0.0021632372586883252,0.002163237258689464,0.10472137023712642
Q1_Q3_partial,0.0034541428912258196,0.0025451974824484054,0.002545197482449682,0.015946860022417794
Q1_Q4_complete,0.006900505364750379,0.005887010967156882,0.005887010967157398,0.017420754462285533
Q1_Q4_partial,0.0035446763033217575,0.0033977196767106693,0.003397719676712114,0.02708632509929932
Q2_Q3_complete,0.0022564855830862346,0.0010160190909228426,0.0010160190909213485,0.018505782112124513
Q2_Q3_partial,0.002408266042671002,0.0011057844325174978,0.0011057844325153725,0.0014269871814519977
Q2_Q4_complete,0.006654308314691123,0.005505682581659242,0.005505682581659074,0.034761108347061594
Q2_Q4_partial,0.0010324017878730865,0.0007258771162623093,0.0007258771162595948,0.032548372154680816
Q3_Q4_complete,0.007092127401605706,0.0057042739560101965,0.005704273956010336,0.018134362661805965
Q3_Q4_partial,0.0034137240583453077,0.0029382684674089227,0.0029382684674101565,0.004831141953355422
