Missing_Rule,MF RMSE,Ridge RMSE,MEAN RMSE,MIWAE RMSE
C0_lower,0.12769956784332742,0.11370228694098676,0.22205580752180115,0.07944507257019474
C0_upper,0.7694780273577431,0.7107005045954443,0.9368879511204083,1.5184505234658505
C0_double,1.7222244398500244,1.7125802124700784,1.8550905877623742,1.9950503283324552
C1_lower,0.614310238220222,0.697280545527515,0.7776479453428589,0.3606491544518196
C1_upper,0.5569021886509905,0.6306071219738034,0.6824738183705261,1.279908635854657
C1_double,1.5217514429751997,1.5649291770516571,1.5849067200330615,1.6686321222901876
C2_lower,0.010035876346246005,0.00895225471342131,0.016388835291648165,0.007168189031102751
C2_upper,1.0589166820525224,0.6588340432666511,1.1137145171699032,1.6322261239956877
C2_double,4.075577156916549,3.7170095334691773,4.129951228423931,4.207166961181613
C3_lower,0.003830209541548941,0.004223457753225946,0.005572555183036998,0.001980412947358695
C3_upper,1.5993952173941601,1.4819220016489554,1.5972630997899342,2.023346154417526
C3_double,16.10408513789574,16.117124790849942,16.119363686389917,16.1794660886901
C4_lower,0.032080123245015545,0.03289978044860915,0.03654183679807271,0.011407760236061722
C4_upper,1.4196536850044672,1.4474495793533952,1.4702028544297552,1.9488211389192416
C4_double,2.658720315415811,2.6669409143456058,2.683444207294136,2.819348087523209
C5_lower,0.0013833792494426101,0.0017487426795721192,0.0011332058395506662,0.00037885886672069856
C5_upper,1.165254014957933,1.178527779622419,1.1750271319852914,1.6780196333965918
C5_double,4.113044440392105,4.123665702544665,4.128522442453191,4.213557894712479
C6_lower,0.10602620671954635,0.07914587351019083,0.39721666295008934,0.07989513721845673
C6_upper,0.3676583751183004,0.2925378117746107,0.8638954884724168,1.2187739613597897
C6_double,0.4210762455866624,0.3511670305536478,0.7933586343472309,0.9253997474103763
C7_lower,0.2446410562919093,0.198968835578691,0.5737112969185859,0.18003098522642327
C7_upper,0.16728265728796785,0.11851830954526517,0.5083544521365102,1.1061714102619393
C7_double,0.48983830193774563,0.540893683340303,0.8717137701344116,0.9466786552974354
