Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.0216,0.1094
Q1_partial,0.02103,0.09256
Q2_complete,0.01465,0.04633
Q2_partial,0.01539,0.04011
Q3_complete,0.01623,0.02824
Q3_partial,0.01651,0.02473
Q4_complete,0.04879,0.13927
Q4_partial,0.04971,0.12267
Q1_Q2_complete,0.02989,0.11773
Q1_Q2_partial,0.02934,0.08049
Q1_Q3_complete,0.04708,0.08442
Q1_Q3_partial,0.046,0.06617
Q1_Q4_complete,0.08654,0.0971
Q1_Q4_partial,0.07859,0.09303
Q2_Q3_complete,0.02855,0.03459
Q2_Q3_partial,0.02904,0.03169
Q2_Q4_complete,0.066,0.09835
Q2_Q4_partial,0.06797,0.08461
Q3_Q4_complete,0.05185,0.12738
Q3_Q4_partial,0.05023,0.09113
