Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.56041,0.81973
Q1_partial,0.56117,0.70206
Q2_complete,0.09817,0.16697
Q2_partial,0.1053,0.14705
Q3_complete,0.07921,0.27313
Q3_partial,0.08715,0.23795
Q4_complete,0.09707,0.66164
Q4_partial,0.0959,0.56365
Q1_Q2_complete,0.41532,0.73024
Q1_Q2_partial,0.40951,0.53572
Q1_Q3_complete,0.41915,0.58294
Q1_Q3_partial,0.41644,0.49009
Q1_Q4_complete,0.51168,0.58334
Q1_Q4_partial,0.49528,0.57085
Q2_Q3_complete,0.15043,0.22328
Q2_Q3_partial,0.15809,0.18676
Q2_Q4_complete,0.23427,0.49999
Q2_Q4_partial,0.23962,0.40729
Q3_Q4_complete,0.15224,0.69624
Q3_Q4_partial,0.15936,0.4855
