Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.03041,0.35658
Q1_partial,0.03148,0.24095
Q2_complete,0.02882,0.32975
Q2_partial,0.04563,0.21306
Q3_complete,0.10047,0.34085
Q3_partial,0.13731,0.17943
Q4_complete,0.13011,0.3507
Q4_partial,0.12243,0.31507
Q1_Q2_complete,0.04763,0.32624
Q1_Q2_partial,0.04497,0.26255
Q1_Q3_complete,0.11828,0.33598
Q1_Q3_partial,0.12431,0.23381
Q1_Q4_complete,0.21267,0.25632
Q1_Q4_partial,0.21953,0.22718
Q2_Q3_complete,0.09982,0.34786
Q2_Q3_partial,0.1116,0.22221
Q2_Q4_complete,0.2052,0.25265
Q2_Q4_partial,0.21124,0.2117
Q3_Q4_complete,0.17139,0.28805
Q3_Q4_partial,0.19291,0.23646
