Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.026,0.1094
Q1_partial,0.02318,0.09256
Q2_complete,0.03121,0.04633
Q2_partial,0.0243,0.04011
Q3_complete,0.04029,0.02824
Q3_partial,0.02549,0.02473
Q4_complete,0.04869,0.13927
Q4_partial,0.05084,0.12267
Q1_Q2_complete,0.03019,0.11773
Q1_Q2_partial,0.03098,0.08049
Q1_Q3_complete,0.04687,0.08442
Q1_Q3_partial,0.04964,0.06617
Q1_Q4_complete,0.08668,0.0971
Q1_Q4_partial,0.07862,0.09303
Q2_Q3_complete,0.02831,0.03459
Q2_Q3_partial,0.04838,0.03169
Q2_Q4_complete,0.06471,0.09835
Q2_Q4_partial,0.07358,0.08461
Q3_Q4_complete,0.05154,0.12738
Q3_Q4_partial,0.05774,0.09113
