Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.02349,0.35658
Q1_partial,0.03145,0.24095
Q2_complete,0.02926,0.32975
Q2_partial,0.03086,0.21306
Q3_complete,0.08699,0.34085
Q3_partial,0.10022,0.17943
Q4_complete,0.1248,0.3507
Q4_partial,0.12659,0.31507
Q1_Q2_complete,0.04296,0.32624
Q1_Q2_partial,0.04081,0.26255
Q1_Q3_complete,0.10505,0.33598
Q1_Q3_partial,0.11285,0.23381
Q1_Q4_complete,0.19825,0.25632
Q1_Q4_partial,0.21202,0.22718
Q2_Q3_complete,0.09735,0.34786
Q2_Q3_partial,0.09651,0.22221
Q2_Q4_complete,0.19869,0.25265
Q2_Q4_partial,0.19105,0.2117
Q3_Q4_complete,0.15187,0.28805
Q3_Q4_partial,0.15144,0.23646
