Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.03177,0.35658
Q1_partial,0.03221,0.24095
Q2_complete,0.03358,0.32975
Q2_partial,0.04014,0.21306
Q3_complete,0.10889,0.34085
Q3_partial,0.12123,0.17943
Q4_complete,0.11971,0.3507
Q4_partial,0.12398,0.31507
Q1_Q2_complete,0.04603,0.32624
Q1_Q2_partial,0.04555,0.26255
Q1_Q3_complete,0.11466,0.33598
Q1_Q3_partial,0.11859,0.23381
Q1_Q4_complete,0.19721,0.25632
Q1_Q4_partial,0.22316,0.22718
Q2_Q3_complete,0.09757,0.34786
Q2_Q3_partial,0.11084,0.22221
Q2_Q4_complete,0.21117,0.25265
Q2_Q4_partial,0.21524,0.2117
Q3_Q4_complete,0.16081,0.28805
Q3_Q4_partial,0.18771,0.23646
