Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.01771,0.11033
Q1_partial,0.04086,0.09638
Q2_complete,0.02391,0.06055
Q2_partial,0.01825,0.05184
Q3_complete,0.03233,0.02655
Q3_partial,0.02086,0.02496
Q4_complete,0.07907,0.16541
Q4_partial,0.06931,0.14281
Q1_Q2_complete,0.03138,0.12607
Q1_Q2_partial,0.02898,0.08498
Q1_Q3_complete,0.04962,0.08844
Q1_Q3_partial,0.0662,0.06966
Q1_Q4_complete,0.10623,0.11235
Q1_Q4_partial,0.10768,0.10899
Q2_Q3_complete,0.03776,0.04893
Q2_Q3_partial,0.03364,0.04022
Q2_Q4_complete,0.08975,0.11207
Q2_Q4_partial,0.09422,0.099
Q3_Q4_complete,0.07108,0.14207
Q3_Q4_partial,0.07341,0.10748
