Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.02711,0.1094
Q1_partial,0.02155,0.09256
Q2_complete,0.03947,0.04633
Q2_partial,0.0235,0.04011
Q3_complete,0.04788,0.02824
Q3_partial,0.02523,0.02473
Q4_complete,0.05179,0.13927
Q4_partial,0.04961,0.12267
Q1_Q2_complete,0.03001,0.11773
Q1_Q2_partial,0.04112,0.08049
Q1_Q3_complete,0.04699,0.08442
Q1_Q3_partial,0.04662,0.06617
Q1_Q4_complete,0.08609,0.0971
Q1_Q4_partial,0.07957,0.09303
Q2_Q3_complete,0.02809,0.03459
Q2_Q3_partial,0.06134,0.03169
Q2_Q4_complete,0.06504,0.09835
Q2_Q4_partial,0.07279,0.08461
Q3_Q4_complete,0.05193,0.12738
Q3_Q4_partial,0.05846,0.09113
