Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.54621,0.81973
Q1_partial,0.52192,0.70206
Q2_complete,0.10416,0.16697
Q2_partial,0.10295,0.14705
Q3_complete,0.08097,0.27313
Q3_partial,0.08876,0.23795
Q4_complete,0.10062,0.66164
Q4_partial,0.09524,0.56365
Q1_Q2_complete,0.39409,0.73024
Q1_Q2_partial,0.34708,0.53572
Q1_Q3_complete,0.42756,0.58294
Q1_Q3_partial,0.42866,0.49009
Q1_Q4_complete,0.54176,0.58334
Q1_Q4_partial,0.48113,0.57085
Q2_Q3_complete,0.15058,0.22328
Q2_Q3_partial,0.15922,0.18676
Q2_Q4_complete,0.23811,0.49999
Q2_Q4_partial,0.24312,0.40729
Q3_Q4_complete,0.16205,0.69624
Q3_Q4_partial,0.16737,0.4855
