Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.55516,0.81973
Q1_partial,0.51956,0.70206
Q2_complete,0.10367,0.16697
Q2_partial,0.1097,0.14705
Q3_complete,0.08013,0.27313
Q3_partial,0.08567,0.23795
Q4_complete,0.10127,0.66164
Q4_partial,0.09311,0.56365
Q1_Q2_complete,0.37079,0.73024
Q1_Q2_partial,0.36839,0.53572
Q1_Q3_complete,0.432,0.58294
Q1_Q3_partial,0.42556,0.49009
Q1_Q4_complete,0.54369,0.58334
Q1_Q4_partial,0.52964,0.57085
Q2_Q3_complete,0.15906,0.22328
Q2_Q3_partial,0.15422,0.18676
Q2_Q4_complete,0.24987,0.49999
Q2_Q4_partial,0.25128,0.40729
Q3_Q4_complete,0.16161,0.69624
Q3_Q4_partial,0.16017,0.4855
