Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.0307,0.35658
Q1_partial,0.02941,0.24095
Q2_complete,0.02807,0.32975
Q2_partial,0.04018,0.21306
Q3_complete,0.10617,0.34085
Q3_partial,0.12766,0.17943
Q4_complete,0.11878,0.3507
Q4_partial,0.12051,0.31507
Q1_Q2_complete,0.04763,0.32624
Q1_Q2_partial,0.0476,0.26255
Q1_Q3_complete,0.14425,0.33598
Q1_Q3_partial,0.114,0.23381
Q1_Q4_complete,0.20308,0.25632
Q1_Q4_partial,0.21908,0.22718
Q2_Q3_complete,0.09673,0.34786
Q2_Q3_partial,0.11736,0.22221
Q2_Q4_complete,0.21433,0.25265
Q2_Q4_partial,0.2061,0.2117
Q3_Q4_complete,0.16046,0.28805
Q3_Q4_partial,0.18627,0.23646
