Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.03198,0.35658
Q1_partial,0.04026,0.24095
Q2_complete,0.02603,0.32975
Q2_partial,0.04051,0.21306
Q3_complete,0.10441,0.34085
Q3_partial,0.11638,0.17943
Q4_complete,0.11487,0.3507
Q4_partial,0.10818,0.31507
Q1_Q2_complete,0.04145,0.32624
Q1_Q2_partial,0.04476,0.26255
Q1_Q3_complete,0.10751,0.33598
Q1_Q3_partial,0.11309,0.23381
Q1_Q4_complete,0.21044,0.25632
Q1_Q4_partial,0.21866,0.22718
Q2_Q3_complete,0.09386,0.34786
Q2_Q3_partial,0.10981,0.22221
Q2_Q4_complete,0.18276,0.25265
Q2_Q4_partial,0.20406,0.2117
Q3_Q4_complete,0.15367,0.28805
Q3_Q4_partial,0.1741,0.23646
