Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.0264,0.1094
Q1_partial,0.02345,0.09256
Q2_complete,0.04301,0.04633
Q2_partial,0.02524,0.04011
Q3_complete,0.04491,0.02824
Q3_partial,0.02523,0.02473
Q4_complete,0.05009,0.13927
Q4_partial,0.04975,0.12267
Q1_Q2_complete,0.03149,0.11773
Q1_Q2_partial,0.03967,0.08049
Q1_Q3_complete,0.05064,0.08442
Q1_Q3_partial,0.04944,0.06617
Q1_Q4_complete,0.11327,0.0971
Q1_Q4_partial,0.08216,0.09303
Q2_Q3_complete,0.02866,0.03459
Q2_Q3_partial,0.05584,0.03169
Q2_Q4_complete,0.07657,0.09835
Q2_Q4_partial,0.07245,0.08461
Q3_Q4_complete,0.05234,0.12738
Q3_Q4_partial,0.08647,0.09113
