Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.02194,0.1094
Q1_partial,0.03457,0.09256
Q2_complete,0.03893,0.04633
Q2_partial,0.02475,0.04011
Q3_complete,0.04616,0.02824
Q3_partial,0.02565,0.02473
Q4_complete,0.05038,0.13927
Q4_partial,0.05044,0.12267
Q1_Q2_complete,0.03093,0.11773
Q1_Q2_partial,0.04149,0.08049
Q1_Q3_complete,0.05032,0.08442
Q1_Q3_partial,0.05188,0.06617
Q1_Q4_complete,0.10864,0.0971
Q1_Q4_partial,0.08397,0.09303
Q2_Q3_complete,0.02922,0.03459
Q2_Q3_partial,0.06539,0.03169
Q2_Q4_complete,0.07567,0.09835
Q2_Q4_partial,0.07993,0.08461
Q3_Q4_complete,0.05288,0.12738
Q3_Q4_partial,0.06467,0.09113
