Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.52628,0.81973
Q1_partial,0.55683,0.70206
Q2_complete,0.10719,0.16697
Q2_partial,0.10551,0.14705
Q3_complete,0.07918,0.27313
Q3_partial,0.08879,0.23795
Q4_complete,0.09682,0.66164
Q4_partial,0.09572,0.56365
Q1_Q2_complete,0.40288,0.73024
Q1_Q2_partial,0.36803,0.53572
Q1_Q3_complete,0.43875,0.58294
Q1_Q3_partial,0.40363,0.49009
Q1_Q4_complete,0.53994,0.58334
Q1_Q4_partial,0.48286,0.57085
Q2_Q3_complete,0.14713,0.22328
Q2_Q3_partial,0.16002,0.18676
Q2_Q4_complete,0.24113,0.49999
Q2_Q4_partial,0.24181,0.40729
Q3_Q4_complete,0.1561,0.69624
Q3_Q4_partial,0.16288,0.4855
