Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.02167,0.1094
Q1_partial,0.03509,0.09256
Q2_complete,0.04109,0.04633
Q2_partial,0.02495,0.04011
Q3_complete,0.03567,0.02824
Q3_partial,0.02495,0.02473
Q4_complete,0.05347,0.13927
Q4_partial,0.05132,0.12267
Q1_Q2_complete,0.03146,0.11773
Q1_Q2_partial,0.0432,0.08049
Q1_Q3_complete,0.04937,0.08442
Q1_Q3_partial,0.04836,0.06617
Q1_Q4_complete,0.10342,0.0971
Q1_Q4_partial,0.08238,0.09303
Q2_Q3_complete,0.02959,0.03459
Q2_Q3_partial,0.04797,0.03169
Q2_Q4_complete,0.07339,0.09835
Q2_Q4_partial,0.07644,0.08461
Q3_Q4_complete,0.05239,0.12738
Q3_Q4_partial,0.08016,0.09113
