Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.01671,0.11033
Q1_partial,0.04164,0.09638
Q2_complete,0.03106,0.06055
Q2_partial,0.01787,0.05184
Q3_complete,0.02985,0.02655
Q3_partial,0.02058,0.02496
Q4_complete,0.07157,0.16541
Q4_partial,0.07996,0.14281
Q1_Q2_complete,0.02749,0.12607
Q1_Q2_partial,0.02853,0.08498
Q1_Q3_complete,0.04875,0.08844
Q1_Q3_partial,0.07671,0.06966
Q1_Q4_complete,0.1062,0.11235
Q1_Q4_partial,0.10553,0.10899
Q2_Q3_complete,0.03242,0.04893
Q2_Q3_partial,0.03265,0.04022
Q2_Q4_complete,0.08779,0.11207
Q2_Q4_partial,0.0925,0.099
Q3_Q4_complete,0.06671,0.14207
Q3_Q4_partial,0.07314,0.10748
